3.0	qid:0	1:11.104323	2:10.886303
3.0	qid:0	1:10.283905	2:12.0043
2.33	qid:0	1:11.565659	2:5.606719
2.33	qid:0	1:10.170942	2:10.731808
1.33	qid:0	1:4.8249984	2:4.6499805
2.0	qid:0	1:0	2:0
3.0	qid:0	1:11.104323	2:11.341987
2.0	qid:0	1:5.2004213	2:11.137164
2.67	qid:1	1:6.334437	2:4.0349045
2.33	qid:1	1:3.6633945	2:7.335256
3.0	qid:1	1:4.2905927	2:7.7559357
3.0	qid:2	1:10.258602	2:15.95356
3.0	qid:2	1:11.194085	2:4.4959836
2.33	qid:2	1:11.194085	2:4.97652
2.0	qid:3	1:5.7581506	2:6.050619
2.33	qid:3	1:6.0077457	2:5.3326616
2.0	qid:3	1:10.911467	2:7.404768
2.67	qid:3	1:5.744764	2:9.859341
2.0	qid:3	1:4.9251623	2:10.154375
2.0	qid:3	1:5.107327	2:7.429152
2.33	qid:3	1:4.9251623	2:5.7241583
1.67	qid:3	1:6.7504997	2:6.2003264
2.0	qid:3	1:11.318867	2:10.315126
2.67	qid:4	1:8.646511	2:9.632458
3.0	qid:4	1:3.6666102	2:4.063983
2.33	qid:4	1:3.1850476	2:9.632458
1.33	qid:4	1:3.270968	2:9.632458
2.33	qid:4	1:3.433117	2:9.610571
2.33	qid:4	1:8.138937	2:9.632458
2.0	qid:4	1:8.237728	2:9.610571
2.33	qid:4	1:3.1850476	2:9.632458
1.67	qid:5	1:14.5895405	2:15.634291
2.33	qid:5	1:8.348077	2:10.419218
2.67	qid:5	1:12.224953	2:16.480515
2.67	qid:5	1:13.132376	2:11.331
2.67	qid:5	1:8.348077	2:11.331177
2.67	qid:5	1:13.0380535	2:17.096207
2.0	qid:6	1:13.486004	2:16.797472
3.0	qid:6	1:10.723025	2:5.665517
2.0	qid:6	1:15.588594	2:5.5850577
3.0	qid:6	1:14.255095	2:17.02853
2.67	qid:6	1:11.661293	2:16.543118
1.0	qid:7	1:1.3817508	2:0
2.33	qid:7	1:1.5410546	2:0
3.0	qid:8	1:21.048176	2:26.240788
3.0	qid:8	1:21.825724	2:26.240788
2.0	qid:9	1:15.303681	2:15.001071
2.0	qid:9	1:17.379824	2:14.968424
2.33	qid:9	1:8.100548	2:10.649076
2.67	qid:9	1:14.97064	2:17.502947
2.67	qid:9	1:17.379824	2:14.968424
2.67	qid:9	1:14.184159	2:14.219081
2.67	qid:9	1:15.303681	2:15.001071
2.0	qid:9	1:15.849459	2:12.637453
2.33	qid:9	1:14.97064	2:14.584134
2.0	qid:9	1:17.276005	2:15.001071
2.33	qid:9	1:15.303681	2:15.001071
2.33	qid:10	1:10.887079	2:10.921124
2.67	qid:10	1:10.887079	2:9.728662
2.67	qid:10	1:5.7102175	2:7.0989685
2.33	qid:11	1:15.3098	2:9.045802
1.33	qid:11	1:15.224644	2:8.454662
3.0	qid:11	1:16.32808	2:9.451433
3.0	qid:11	1:18.040178	2:0
3.0	qid:11	1:14.763805	2:10.81539
2.0	qid:11	1:16.238375	2:8.925877
3.0	qid:11	1:15.802553	2:10.704435
1.33	qid:12	1:8.108673	2:4.238347
2.33	qid:13	1:8.015534	2:6.6459036
2.0	qid:13	1:8.903848	2:11.762349
2.33	qid:13	1:8.130792	2:10.317198
2.0	qid:13	1:6.6975	2:0
2.33	qid:13	1:8.015534	2:6.6459036
2.33	qid:13	1:11.529606	2:12.457944
2.67	qid:13	1:8.130792	2:11.485069
2.0	qid:14	1:12.3802395	2:14.538318
2.0	qid:14	1:13.849907	2:16.66418
2.0	qid:14	1:13.2045765	2:13.564096
2.0	qid:14	1:14.483642	2:15.792093
2.0	qid:14	1:14.343314	2:15.533432
2.0	qid:14	1:14.343314	2:13.880753
2.0	qid:14	1:14.873175	2:16.53114
2.0	qid:15	1:0	2:0
2.33	qid:15	1:0	2:0
1.33	qid:15	1:10.594065	2:9.205635
2.33	qid:15	1:0	2:4.269035
2.0	qid:16	1:0	2:0
2.0	qid:16	1:2.9416986	2:4.2219234
2.0	qid:16	1:0	2:0
2.67	qid:17	1:16.47364	2:13.34391
2.67	qid:17	1:19.308062	2:21.956057
2.33	qid:17	1:20.621534	2:23.022984
2.33	qid:17	1:13.812717	2:15.218635
2.33	qid:18	1:15.088978	2:5.627967
2.0	qid:18	1:10.872406	2:10.241895
2.0	qid:18	1:4.307371	2:3.879132
